   479.0 0.982 0.980 0.986 0.975
   481.0 0.982 0.980 0.986 0.975
   483.0 0.982 0.980 0.986 0.976
   485.0 0.982 0.980 0.986 0.976
   487.0 0.982 0.980 0.986 0.976
   489.0 0.983 0.980 0.986 0.976
   491.0 0.983 0.980 0.987 0.976
   493.0 0.983 0.980 0.987 0.976
   495.0 0.983 0.980 0.987 0.976
   497.0 0.983 0.980 0.987 0.976
   499.0 0.983 0.980 0.987 0.977
   501.0 0.983 0.981 0.987 0.977
   503.0 0.983 0.981 0.987 0.977
   505.0 0.983 0.981 0.987 0.977
   507.0 0.983 0.981 0.987 0.977
   509.0 0.983 0.981 0.987 0.977
   511.0 0.983 0.981 0.987 0.977
   513.0 0.984 0.981 0.987 0.978
   515.0 0.984 0.981 0.987 0.978
   517.0 0.984 0.982 0.987 0.978
   519.0 0.984 0.982 0.987 0.978
   521.0 0.984 0.982 0.987 0.978
   523.0 0.984 0.982 0.988 0.978
   525.0 0.984 0.982 0.988 0.979
   527.0 0.984 0.982 0.988 0.979
   529.0 0.984 0.982 0.988 0.979
   531.0 0.984 0.982 0.988 0.979
   533.0 0.984 0.982 0.988 0.979
   535.0 0.984 0.982 0.988 0.979
   537.0 0.984 0.983 0.988 0.979
   539.0 0.984 0.983 0.988 0.979
   541.0 0.985 0.983 0.988 0.979
   543.0 0.985 0.983 0.988 0.979
   545.0 0.985 0.983 0.988 0.979
   547.0 0.985 0.983 0.988 0.980
   549.0 0.985 0.983 0.988 0.980
   551.0 0.985 0.983 0.988 0.980
   553.0 0.985 0.983 0.988 0.980
   555.0 0.985 0.983 0.988 0.980
   557.0 0.985 0.983 0.988 0.980
   559.0 0.985 0.983 0.988 0.980
   561.0 0.985 0.984 0.988 0.980
   563.0 0.985 0.984 0.988 0.981
   565.0 0.985 0.984 0.988 0.981
   567.0 0.985 0.984 0.988 0.981
   569.0 0.985 0.984 0.988 0.981
   571.0 0.985 0.984 0.988 0.981
   573.0 0.985 0.984 0.988 0.981
   575.0 0.985 0.984 0.988 0.981
   577.0 0.986 0.984 0.989 0.982
